Country,State,Location,Activity,Date,Year,Type,Month,Sex,Age,Injury_Category,Time,Species,Fatal Y/N
Australia,Queensland,"Woorim Beach, Bribie Island,",Swimming,,2025,Unprovoked,,F,17.0,Injury,16:45,Bull Shark,Y
Australia,Western Australia,Shipwreck Cove,Bathing,,2025,Unprovoked,,M,12.0,Minor injury,17:11,Other/Unknown,N
Australia,Western Australia,Cheynes Beach,Surfing,,2025,Unprovoked,,M,37.0,Injury,16:00,Bronze Whaler Shark,N
Mozambique,Inhambane Province,Vilankulo Bay,Spearfishing,,2025,Unprovoked,,M,36.0,Other,13:30,Other/Unknown,Y
Usa,Hawaii,Off Haleiwa Boat Harbour Oahu,Diving,,2025,Provoked,,M,23.0,Injury,13:40,Other/Unknown,N
New Caledonia,Grande Terre,Islet Of Kendek Near Koumac,Spearfishing,,2025,Unprovoked,,M,40.0,Severe injury,16:15,Tiger Shark,Y
Australia,South Australia,Granites Beach Near Westall Streaky Bay,Surfing,,2025,Unprovoked,,M,28.0,Other,17:10,White Shark,Y
Mozambique,?,?,Diving,,2024,Unprovoked,,M,,Injury,No time specified,Other/Unknown,Y
Egypt,North Of Marsa Alam,Red Sea,SCUBA Diving,,2024,Unprovoked,,M,69.0,Injury,No time specified,Tiger Shark,N
Egypt,North Of Marsa Alam,Red Sea,SCUBA Diving,,2024,Unprovoked,,M,48.0,Injury,No time specified,Tiger Shark,Y
Australia,Queensland,Humpy Island Great Keppel Island,Spearfishing,,2024,Unprovoked,,M,40.0,Injury,16:37,Other/Unknown,Y
Australia,Queensland,Curtis Island Near Gladstone Qld Central Coast,Spearfishing,,2024,Unprovoked,,M,,Unknown,No time specified,Other/Unknown,N
Australia,Western Australia,Greenough River Mouth Beach Cape Burney 12Km South Of Geraldton,Surfing,,2024,Unprovoked,,M,,Unknown,No time specified,Other/Unknown,N
Thailand,Phang Nga Province,Khao Lak Beach,Swimming,,2024,Unprovoked,,F,57.0,Minor injury,No time specified,Other/Unknown,N
New Zealand,Bay Of Waitangi,Chatham Islands,Diving,,2024,Unprovoked,,M,24.0,Unknown,No time specified,White Shark,Y
Maldives,Kaafu,Maafushi,Diving,,2024,Unprovoked,,F,45.0,Unknown,No time specified,Other/Unknown,N
Hawaii,Maui,Sand Piles Waiehu Beach Park,Surfing,,2024,Unprovoked,,M,61.0,Severe injury,No time specified,Other/Unknown,N
Australia,Queensland,Whitsunday Islands,Snorkeling,,2024,Unprovoked,,F,57.0,Injury,16:30,Tiger Shark,N
Usa,Florida,"Bathtub Beach, Martin County",Surfing,,2024,Unprovoked,,M,27.0,Injury,No time specified,Tiger Shark,N
Honduras,Tela,Atlantida,Swimming,,2024,Unprovoked,,M,38.0,Severe injury,No time specified,Bull Shark,N
Usa,Florida,Brevard County Orlando,Surfing,,2024,Unprovoked,,M,16.0,Injury,No time specified,Bull Shark,N
Indonesia,Timor Leste,Pulau Reong Island,Disappeared whilst diving remains found in shark,,2024,Questionable,,F,68.0,Other,No time specified,Tiger Shark,Y
Honduras,Trujillo Colon,Puerto Castillo,Diving for shellfish,,2024,Unprovoked,,M,33.0,Injury,No time specified,Bull Shark,N
Morocco,Southern Morocco,West Of Dakhla,Swimming - jumped off yacht,,2024,Unprovoked,,F,30.0,Severe injury,16:00,White Shark,Y
Jamaica,Montego Bay,Falmouth,Spearfishing,,2024,Unprovoked,,M,16.0,Severe injury,No time specified,Tiger Shark,Y
Belize,Gulf Of Honduras,Central America,Swimming - Diving,,2024,Unprovoked,,F,15.0,Severe injury,11:30,Other/Unknown,N
Australia,Nsw,"North Shore Beach, Port Macquarie",Surfing,,2024,Unprovoked,,M,23.0,Injury,11:00,White Shark,N
Australia,Western Australia,Trigg Beach Sterling,Surfing,,2024,Unprovoked,,M,41.0,Minor injury,17:35,Other/Unknown,N
Usa,Florida,Ponce De Leon Inlet Volusia County,Diving into Water,,2024,Unprovoked,,M,14.0,Injury,11:15,Blacktip Shark,N
Australia,Western Australia,14 Mile Beach Coral Bay (Gascoyne Region),Spearfishing,,2024,Unprovoked,,M,43.0,Other,11:18,Other/Unknown,N
Usa,Florida,New Smyrna Beach,Wading,,2024,Unprovoked,,M,26.0,Minor injury,16:15,Other/Unknown,N
Usa,Texas,South Padre Island,Swimming,,2024,Unprovoked,,F,,Injury,No time specified,Bull Shark,N
Usa,Texas,South Padre Island,Swimming,,2026,Unprovoked,,F,18.0,Minor injury,No time specified,Other/Unknown,N
Usa,Texas,South Padre Island,Swimming,,2025,Unprovoked,,F,18.0,Injury,No time specified,Other/Unknown,N
Usa,Floria,New Smyrna Beach,Playing football in the water,,2024,Unprovoked,,M,21.0,Minor injury,11:00,Other/Unknown,N
Usa,Florida,New Smyrna Beach Beach Access 14 Volusia County,Swimming,,2024,Unprovoked,,M,,Injury,11:00,Other/Unknown,N
Usa,Hawaii,Goat Island (Moku'Auia) La'Ie Bay,Surfing,,2024,Unprovoked,,M,49.0,Injury,12:00,Other/Unknown,Y
Usa,Hawaii,"Haleiwa, Oahu",Unconfirmed Possibly swimming near the boat harbour,,2024,Unprovoked,,F,25.0,Injury,14:00,Tiger Shark,N
Usa,Florida,Rosemary Beach Walton County,Wading,,2024,Unprovoked,,F,15.0,Injury,No time specified,Bull Shark,N
Usa,Florida,Water Sound  Beach Walton County,Swimming,,2024,Unprovoked,,F,45.0,Severe injury,13:15,Bull Shark,N
Usa,California,Del Mar Beach San Diego,Swimming ocean training,,2024,Unprovoked,,M,46.0,Injury,No time specified,Other/Unknown,N
Maldive Islands,Maahvah Laamu Atoll,Indian Ocean,Military ocean training,,2024,Unprovoked,,M,23.0,Fatal,13:00,Other/Unknown,Y
Usa,Galveston,Jamaica Beach,Wading,,2024,Unprovoked,,F,19.0,Injury,No time specified,Other/Unknown,N
Turks And Caicos,Providenciales Island,Leward Reef,snorkelling,,2024,Unprovoked,,M,27.0,Severe injury,15:30,Other/Unknown,N
French Polynesia,Gambier Islands,Mangareva Atoll,Freediving,,2024,Unprovoked,,M,20.0,Severe injury,No time specified,Other/Unknown,N
Usa,South Carolina,Y-73' Ledge Reef Chareston Coast,Spearfishing,,2024,Unprovoked,,M,65.0,Injury,13:30,Other/Unknown,N
Tobago,Graet Courland Bay,Turtle Beach,Swimming,,2024,Unprovoked,,M,64.0,Injury,No time specified,Bull Shark,N
Bahamas,Clarence Town Long Isand,Flying Fish Marina,Jumpinf from dock to boat acidentally fell into water at marina,,2024,Unprovoked,,M,24.0,Injury,No time specified,Other/Unknown,N
Australia,South Australia,West Beach Glenelg,Fishing,,2024,Unprovoked,,M,16.0,Minor injury,13:40,White Shark,N
Australia,Western Australia,Lighthouse Bombie Surf Spot Exemouth,Surfing,,2024,Unprovoked,,M,26.0,Minor injury,12:30,Other/Unknown,N
Maldive Islands,Nunu Atoll,Unspecified,Swimming,,2024,Unprovoked,,M,,Minor injury,No time specified,Other/Unknown,N
Australia,Queensland,Bargara Beach,Swimming,15 mar 2024,2024,Unprovoked,March,F,13.0,Minor injury,16:00,Tiger Shark,N
Usa,Hawaii,"Old Man'S, Waikiki",Surfing,04 mar 2024,2024,Unprovoked,March,M,,No injury,No time specified,Tiger Shark,N
Usa,Hawaii,"Rainbows, Oahu",Swimming,02 mar-2024,2024,Unprovoked,March,F,11.0,Injury,13:30,Other/Unknown,N
Australia,Western Australia,"Sandlnd Island, Jurian Bay",Swimming,25 feb-2024,2024,Unprovoked,February,F,46.0,Injury,11:30,Tiger Shark,N
India,Maharashtra,"Vaitarna River, Palghar District",Fishing,14 feb-2024,2024,Unprovoked,February,M,32.0,Injury,No time specified,Bull Shark,N
Trinidad,,,Spearfishing,04-feb-2024,2024,Provoked,February,M,,Injury,06:30,Blacktip Shark,N
Australia,New  South Wales,"Elizabeth Bay, Sydney Harbor",Swimming,29 jan-2024,2024,Unprovoked,January,F,29.0,Injury,20:00,Bull Shark,N
Bahamas,Paradise Island,Paradise Island Resort,Swimming,15 jan-2024,2024,Unprovoked,January,M,10.0,Injury,16:00,Other/Unknown,N
Australia,South Australia,"Walkers Beach, Elliston",Surfing,09-jan-2024,2024,Unprovoked,January,M,64.0,Injury,13:00,White Shark,N
South Africa,Eastern Cape Province,Papiesfontein,Fishing,05-jan-2024,2024,Provoked,January,M,62.0,Injury,No time specified,Raggedtooth Shark,N
Usa,Hawaii,"Baby Beach, Maui",Surfing,30 dec-2023,2023,Unprovoked,December,M,39.0,Fatal,11:12,Other/Unknown,Y
Mexico,Sonora,"Tojahui Beach, Yavaros, Huatabampo",Free diving,29 dec-2023,2023,Unprovoked,December,M,22.0,Fatal,13:00,White Shark,Y
Australia,South Australia,Ethel Beach,Surfing,28 dec-2023,2023,Unprovoked,December,M,15.0,Fatal,13:30,White Shark,Y
Australia,New South Wales,Old Bar,Surfing,25 dec-2023,2023,Unprovoked,December,M,16.0,Injury,16:30,Other/Unknown,N
Australia,Western Australia,Wedge Island,Foil Boarding,24-dec-2023,2023,Unprovoked,December,M,46.0,Injury,15:00,Other/Unknown,N
New Zealand,South Island,Riverton,Wading,18 dec-2023,2023,Unprovoked,December,F,21.0,Injury,02:00,Other/Unknown,N
Mexico,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,14  dec-2023,2023,Questionable,December,M,66.0,Fatal,09:15,Other/Unknown,Y
Mexico,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,14  dec-2023,2023,Questionable,December,F,52.0,Injury,No time specified,Other/Unknown,N
